Item#	Category	Product Name	Vendor	Price	Size
920577	Chew Toy	Benebone Bacon Flavor Wishbone Tough Dog Chew Toy	Benebone	9.95	Small
920578	Chew Toy	Benebone Bacon Flavor Wishbone Tough Dog Chew Toy	Benebone	11.99	Medium
920579	Chew Toy	Benebone Bacon Flavor Wishbone Tough Dog Chew Toy	Benebone	17.95	Large
920580	Chew Toy	Benebone Bacon Flavor Wishbone Tough Dog Chew Toy	Benebone	19.95	Giant
920581	Accessories	Disney Stitch Pocket Dog & Cat T-shirt	Disney	13.99	Small
920582	Accessories	Disney Stitch Pocket Dog & Cat T-shirt	Disney	14.99	Medium
920583	Accessories	Disney Stitch Pocket Dog & Cat T-shirt	Disney	15.99	Large
920584	Cat Toy	Frisco Brunch Pancake Foldable Play Tunnel Cat Toy with Catnip	Frisco	10.98	One Size
920585	Cat Toy	Frisco Interactive Electric Flopping Fish Cat Toy with Catnip	Frisco	10.98	One Size
920586	Cat Toy	Frisco Bee & Leaf Cat Tracks Cat Toy with Catnip	Frisco	10.98	One Size
920587	Cat Toy	Frisco Colorful Springs Cat Toy, 10 count	Frisco	4.74	One Size
920588	Cat Toy	Frisco Bird Teaser with Feathers Cat Toy	Frisco	3.98	One Size
920589	Dog Toy	Frisco Birthday Tennis Ball Squeaky Dog Toy, 3 count	Frisco	6.98	One Size
920590	Dog Toy	Frisco Hide & Seek Plush Volcano Puzzle Dog Toy Refills, 3-pack	Frisco	6.98	One Size
920591	Accessories	Pets First NFL Dog T-Shirt: Dalas Cowboys	Pets First	10.9	Small
920592	Accessories	Pets First NFL Dog T-Shirt: Dalas Cowboys	Pets First	15.99	Medium
920593	Accessories	Pets First NFL Dog T-Shirt: Dalas Cowboys	Pets First	17.99	Large
920594	Accessories	Pets First NFL Dog T-Shirt: Los Angeles Chargers	Pets First	10.9	Small
920595	Accessories	Pets First NFL Dog T-Shirt: Los Angeles Chargers	Pets First	15.99	Medium
920596	Accessories	Pets First NFL Dog T-Shirt: Los Angeles Chargers	Pets First	17.99	Large
920597	Accessories	Pets First NFL Dog T-Shirt: Seattle Seahawks	Pets First	10.9	Small
920598	Accessories	Pets First NFL Dog T-Shirt: Seattle Seahawks	Pets First	15.99	Medium
920599	Accessories	Pets First NFL Dog T-Shirt: Seattle Seahawks	Pets First	17.99	Large
920600	Cat Toy	Petstages Buggin' Out Puzzle & Play Cat Toy	Petstages	19.99	One Size
920601	Cat Toy	SmartyKat Scratch Scroll Cat Scratcher with Feather Toy, Color Varies	SmartyKat	29.99	One Size
920602	Cat Toy	SnugglyCat Ripple Rug Cat Activity Play Mat	SnugglyCat	44	One Size
920603	Cat Toy	ZEZE Adjustable Shape Tree Hole Tunnel Cat Toy	ZEZE	25	One Size
