Item#	Category	Product Name	Vendor	Price	Spec	Expiration Date
228501	Dog Treats	SmartBones SmartSticks Peanut Butter Chews Dog Treats	SmartBones	6.79	5 Count	5/20/2023
228502	Dog Treats	SmartBones SmartSticks Peanut Butter Chews Dog Treats	SmartBones	11.99	10 Count	5/20/2023
228503	Dog Treats	SmartBones SmartSticks Peanut Butter Chews Dog Treats	SmartBones	12.99	12 Count	5/20/2023
228504	Dog Treats	SmartBones SmartSticks Peanut Butter Chews Dog Treats	SmartBones	20.99	25 Count	5/20/2023
228505	Dog Treats	SmartBones SmartSticks Peanut Butter Chews Dog Treats	SmartBones	38.97	36 Count	5/20/2023
228506	Dog Treats	True Acre Foods Rawhide-Free Rolled Sticks, Hip & Joint Chicken Flavor Treats	True Acre Foods	8.99	16 Count	1/15/2023
228507	Dog Treats	True Acre Foods Rawhide-Free Rolled Sticks, Skin & Coat Chicken Flavor Treats	True Acre Foods	8.99	16 Count	1/15/2023
228508	Dog Treats	True Acre Foods All-Natural Dental Chew Sticks, Original Flavor	True Acre Foods	13.5	32 Count	1/15/2023
228509	Dog Treats	True Acre Foods, All-Natural Dental Chew Sticks, Peanut Butter Flavor	True Acre Foods	13.5	32 Count	1/15/2023
228510	Dog Treats	Shameless Pets We Be Salmon Calming Chews Dog Supplement	Shameless Pets	14.99	90 Count	1/15/2023
228511	Dog Treats	Shameless Pets Soft Baked Blueberried Treasure Flavor Grain-Free Dog Treats	Shameless Pets	5.99	6-oz Bag	1/15/2023
228512	Dog Treats	Shameless Pets Soft Baked Pumpkin Nut Partay Flavor Grain-Free Dog Treats	Shameless Pets	5.99	6-oz Bag	1/15/2023
228513	Dog Treats	Shameless Pets Soft Baked Bananas for Bacon Flavor Grain-Free Dog Treats	Shameless Pets	5.99	6-oz Bag	1/15/2023
228514	Dog Treats	American Journey Peanut Butter Recipe Grain-Free Oven Baked Crunchy Biscuit Dog Treats	American Journey	3.74	8-oz Bag	1/15/2023
228515	Dog Treats	American Journey Peanut Butter Recipe Grain-Free Oven Baked Crunchy Biscuit Dog Treats	American Journey	4.99	16-oz Bag	1/15/2023
228516	Dog Treats	Blue Buffalo Health Bars Baked with Bacon, Egg & Cheese Dog Treats	Blue Buffalo	6.49	16-oz Bag	3/18/2024
228517	Dog Treats	Blue Buffalo Health Bars Baked with Bacon, Egg & Cheese Dog Treats	Blue Buffalo	20.99	3.5-lb Box	3/18/2024
228518	Dog Treats	Blue Buffalo Health Bars Baked with Apples & Yogurt Dog Treats	Blue Buffalo	6.49	16-oz Bag	3/18/2024
228519	Dog Treats	Blue Buffalo Health Bars Baked with Apples & Yogurt Dog Treats	Blue Buffalo	20.99	3.5-lb Box	3/18/2024
288600	Dog Food (Dry)	Blue Buffalo Life Protection Formula Adult Chicken & Brown Rice Recipe Dry Dog Food	Blue Buffalo	17.99	5-lb bag	3/18/2024
288601	Dog Food (Dry)	Blue Buffalo Life Protection Formula Adult Chicken & Brown Rice Recipe Dry Dog Food	Blue Buffalo	36.99	15-lb bag	3/18/2024
288602	Dog Food (Dry)	Blue Buffalo Life Protection Formula Adult Chicken & Brown Rice Recipe Dry Dog Food	Blue Buffalo	47.99	24-lb bag	3/18/2024
288603	Dog Food (Dry)	Blue Buffalo Life Protection Formula Adult Chicken & Brown Rice Recipe Dry Dog Food	Blue Buffalo	62.99	30-lb bag	3/18/2024
